Date	Price	Open	High	Low	Change
5/18/2007	1.3507	1.3494	1.3521	1.3464	0.08%
5/21/2007	1.3463	1.352	1.3522	1.3435	-0.33%
5/22/2007	1.3451	1.3462	1.3475	1.3438	-0.09%
5/23/2007	1.3455	1.3452	1.35	1.3415	0.03%
5/24/2007	1.3423	1.3454	1.3461	1.3414	-0.24%
5/25/2007	1.3442	1.3422	1.3472	1.3411	0.14%
5/28/2007	1.3452	1.3448	1.3458	1.3445	0.07%
5/29/2007	1.3451	1.3451	1.3519	1.3419	-0.01%
5/30/2007	1.3432	1.3452	1.3457	1.3406	-0.14%
5/31/2007	1.3453	1.3434	1.3477	1.3423	0.16%
6/1/2007	1.3448	1.3454	1.3461	1.3392	-0.04%
6/4/2007	1.3492	1.3444	1.3499	1.3431	0.33%
6/5/2007	1.3517	1.3491	1.3553	1.3488	0.19%
6/6/2007	1.3498	1.3518	1.3538	1.3485	-0.14%
6/7/2007	1.3426	1.3497	1.3512	1.3422	-0.53%
6/8/2007	1.3372	1.3427	1.3429	1.332	-0.40%
6/11/2007	1.335	1.3359	1.3361	1.3335	-0.16%
6/12/2007	1.33	1.3349	1.3368	1.33	-0.37%
6/13/2007	1.3308	1.3301	1.3315	1.3262	0.06%
6/14/2007	1.3309	1.3309	1.3323	1.3279	0.01%
6/15/2007	1.3388	1.3308	1.3388	1.3305	0.59%
6/18/2007	1.3416	1.3386	1.342	1.3383	0.21%
6/19/2007	1.3424	1.3418	1.3436	1.3383	0.06%
6/20/2007	1.3399	1.3425	1.3437	1.3391	-0.19%
6/21/2007	1.339	1.3398	1.3406	1.3371	-0.07%
6/22/2007	1.3469	1.3389	1.347	1.3381	0.59%
6/25/2007	1.3463	1.3462	1.3473	1.3438	-0.04%
6/26/2007	1.345	1.3462	1.3478	1.3431	-0.10%
6/27/2007	1.3454	1.3451	1.3457	1.3415	0.03%
6/28/2007	1.3437	1.3455	1.348	1.3422	-0.13%
6/29/2007	1.354	1.3436	1.3541	1.3428	0.77%
7/2/2007	1.3619	1.3534	1.3637	1.3527	0.58%
7/3/2007	1.3607	1.362	1.3633	1.3583	-0.09%
7/4/2007	1.3619	1.3606	1.363	1.3604	0.09%
7/5/2007	1.3594	1.3618	1.3659	1.3578	-0.18%
7/6/2007	1.3625	1.3593	1.3641	1.3567	0.23%
7/9/2007	1.3621	1.3626	1.3642	1.3611	-0.03%
7/10/2007	1.3743	1.362	1.3785	1.3594	0.90%
7/11/2007	1.3745	1.3742	1.3779	1.373	0.01%
7/12/2007	1.3782	1.3746	1.38	1.3742	0.27%
7/13/2007	1.3782	1.3784	1.3812	1.3762	0.00%
7/16/2007	1.3775	1.3777	1.3804	1.3759	-0.05%
7/17/2007	1.379	1.3776	1.3798	1.3758	0.11%
7/18/2007	1.3805	1.3795	1.3833	1.3752	0.11%
7/19/2007	1.3798	1.3806	1.383	1.3785	-0.05%
7/20/2007	1.3826	1.3796	1.3842	1.3779	0.20%
7/23/2007	1.3801	1.3837	1.3843	1.3794	-0.18%
7/24/2007	1.3819	1.38	1.3851	1.38	0.13%
7/25/2007	1.3722	1.3818	1.3822	1.3695	-0.70%
7/26/2007	1.375	1.3721	1.377	1.3692	0.20%
7/27/2007	1.3635	1.3749	1.3751	1.3626	-0.84%
7/30/2007	1.3721	1.3632	1.3726	1.362	0.63%
7/31/2007	1.3673	1.3722	1.3724	1.3667	-0.35%
8/1/2007	1.3664	1.3672	1.3709	1.3637	-0.07%
8/2/2007	1.3704	1.3663	1.3707	1.3651	0.29%
8/3/2007	1.3773	1.3705	1.3817	1.3684	0.50%
8/6/2007	1.3811	1.3818	1.3838	1.378	0.28%
8/7/2007	1.3753	1.3812	1.3812	1.3735	-0.42%
8/8/2007	1.3801	1.3754	1.3825	1.3721	0.35%
8/9/2007	1.3666	1.38	1.3816	1.3654	-0.98%
8/10/2007	1.3693	1.3667	1.3704	1.3643	0.20%
8/13/2007	1.3607	1.3689	1.3708	1.3601	-0.63%
8/14/2007	1.353	1.3608	1.3625	1.3528	-0.57%
8/15/2007	1.3431	1.3529	1.3532	1.3417	-0.73%
8/16/2007	1.343	1.343	1.3446	1.336	-0.01%
8/17/2007	1.3474	1.3429	1.3545	1.337	0.33%
8/20/2007	1.3472	1.3474	1.3507	1.3459	-0.01%
8/21/2007	1.3465	1.3471	1.3519	1.3453	-0.05%
8/22/2007	1.3547	1.3467	1.3558	1.345	0.61%
8/23/2007	1.3563	1.3548	1.3587	1.3536	0.12%
8/24/2007	1.3675	1.3564	1.3681	1.3553	0.83%
8/27/2007	1.3635	1.3681	1.3684	1.3634	-0.29%
8/28/2007	1.3576	1.3634	1.3679	1.3575	-0.43%
8/29/2007	1.3667	1.3577	1.368	1.3562	0.67%
8/30/2007	1.3668	1.3668	1.3672	1.3592	0.01%
8/31/2007	1.3628	1.3667	1.3719	1.362	-0.29%
9/3/2007	1.3613	1.3631	1.3654	1.3605	-0.11%
9/4/2007	1.3622	1.3612	1.3625	1.355	0.07%
9/5/2007	1.3651	1.3623	1.3671	1.3569	0.21%
9/6/2007	1.3691	1.3652	1.3709	1.3634	0.29%
9/7/2007	1.3767	1.3692	1.3797	1.3663	0.56%
9/10/2007	1.3791	1.3779	1.3814	1.3766	0.17%
9/11/2007	1.3837	1.379	1.3848	1.3778	0.33%
9/12/2007	1.3894	1.3835	1.3913	1.3824	0.41%
9/13/2007	1.3871	1.3893	1.3926	1.3863	-0.17%
9/14/2007	1.3874	1.387	1.3895	1.3844	0.02%
9/17/2007	1.3865	1.3859	1.3888	1.3848	-0.06%
9/18/2007	1.3974	1.3864	1.3987	1.3828	0.79%
9/19/2007	1.3973	1.3973	1.3987	1.3935	-0.01%
9/20/2007	1.4069	1.3974	1.4098	1.397	0.69%
9/21/2007	1.409	1.4068	1.4119	1.4042	0.15%
9/24/2007	1.4073	1.409	1.4129	1.4067	-0.12%
9/25/2007	1.4146	1.4074	1.4161	1.406	0.52%
9/26/2007	1.4127	1.4147	1.4154	1.4111	-0.13%
9/27/2007	1.4155	1.4129	1.4189	1.4122	0.20%
9/28/2007	1.4266	1.4156	1.4278	1.4151	0.78%
10/1/2007	1.4234	1.4269	1.4276	1.421	-0.22%
